country_code,latitude,longitude,temperature,humidity,reference_date,year,month,day,hour
SE,59.65,17.95,-0.03,80,2025-04-05 12:00:02,2025,4,5,12
FI,60.1,24.9833,-0.63,74,2025-04-05 12:00:02,2025,4,5,12
GB,51.4833,-0.45,6.88,75,2025-04-05 12:00:02,2025,4,5,12
GL,64.1667,-51.75,-8.58,79,2025-04-05 12:00:02,2025,4,5,12
FR,48.9667,2.45,11.2,62,2025-04-05 12:00:02,2025,4,5,12
DE,52.4667,13.4,7.02,78,2025-04-05 12:00:02,2025,4,5,12
IT,41.7833,12.5833,11.37,62,2025-04-05 12:00:02,2025,4,5,12
RU,59.9667,30.3,0.59,75,2025-04-05 12:00:02,2025,4,5,12
IN,28.5833,77.2,24.06,38,2025-04-05 12:00:02,2025,4,5,12
MV,4.2,73.5333,29.02,79,2025-04-05 12:00:02,2025,4,5,12
KR,37.5667,126.9667,7.8100000000000005,100,2025-04-05 12:00:02,2025,4,5,12
JP,35.6833,139.7667,14.74,40,2025-04-05 12:00:02,2025,4,5,12
TH,13.7333,100.5667,33.54,60,2025-04-05 12:00:02,2025,4,5,12
CN,39.9333,116.2833,16.21,6,2025-04-05 12:00:02,2025,4,5,12
EG,30.1333,31.4,15.56,77,2025-04-05 12:00:02,2025,4,5,12
SD,15.6,32.55,27.69,10,2025-04-05 12:00:02,2025,4,5,12
NG,9.25,7.0,28.23,47,2025-04-05 12:00:02,2025,4,5,12
GH,5.6,-0.16670000000000001,26.86,84,2025-04-05 12:00:02,2025,4,5,12
ZA,-33.9833,18.6,18.15,81,2025-04-05 12:00:02,2025,4,5,12
CA,49.3,-123.12,12.32,70,2025-04-05 12:00:02,2025,4,5,12
BR,-22.9333,-43.7167,24.01,88,2025-04-05 12:00:02,2025,4,5,12
AR,-34.5833,-58.4833,12.47,60,2025-04-05 12:00:02,2025,4,5,12
AQ,-90.0,0.0,-51.0,98,2025-04-05 12:00:02,2025,4,5,12
TV,-8.5167,179.2167,32.03,66,2025-04-05 12:00:02,2025,4,5,12
AU,-35.3,149.2,21.64,27,2025-04-05 12:00:02,2025,4,5,12
US,40.7789,-73.9692,15.63,38,2025-04-05 12:00:02,2025,4,5,12
MN,47.85,106.7667,7.09,21,2025-04-05 12:00:02,2025,4,5,12
